VCD info: dumpfile enc.vcd opened for output.
Time=0, Clk=0, set=1, inp=x, out=x
Time=5, Clk=1, set=1, inp=x, out=x
Time=10, Clk=0, set=0, inp=1, out=x
Time=15, Clk=1, set=0, inp=1, out=0
Time=20, Clk=0, set=0, inp=0, out=0
Time=25, Clk=1, set=0, inp=0, out=0
Time=30, Clk=0, set=0, inp=1, out=0
Time=35, Clk=1, set=0, inp=1, out=0
Time=40, Clk=0, set=0, inp=1, out=0
Time=45, Clk=1, set=0, inp=1, out=0
tb_enc.v:22: $finish called at 50 (1s)
Time=50, Clk=0, set=0, inp=0, out=0
